truth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.100,0.107072824, 0.108043694,0.106101946,0.10416019,0.105131076,0.106101946,0.10416019,0.106101946,0.106101946,0.107072824,0.105131076,0.10416019,0.107072824,0.10416019,0.105131076,0.10416019,0.107072824,0.105131076,0.105131076,0.105131076,0.10416019,0.105131076,0.10318932,0.106101946,0.106101946,0.105131076,0.105131076,0.105131076,0.10416019,0.10416019,0.106101946,0.107072824,0.107072824,0.106101946,0.106101946,0.10416019,0.10416019,0.106101946,0.105131076,0.105131076,0.106101946,0.106101946,0.106101946,0.10416019,0.106101946,0.107072824,0.107072824,0.105131076,0.107072824,0.107072824,0.105131076,0.107072824,0.105131076,0.105131076,0.106101946,0.105131076,0.105131076,0.106101946,0.108043694,0.105131076,0.106101946,0.106101946,0.106101946,0.107072824
0.110,0.115810686,0.117752434,0.116781556,0.114839816,0.115810686,0.116781556,0.115810686,0.116781556,0.116781556,0.118723304,0.114839816,0.115810686,0.117752434,0.114839816,0.115810686,0.117752434,0.117752434,0.115810686,0.115810686,0.115810686,0.115810686,0.115810686,0.114839816,0.116781556,0.117752434,0.114839816,0.115810686,0.116781556,0.114839816,0.11386894,0.116781556,0.117752434,0.116781556,0.115810686,0.116781556,0.114839816,0.114839816,0.115810686,0.115810686,0.115810686,0.117752434,0.116781556,0.116781556,0.115810686,0.115810686,0.118723304,0.114839816,0.116781556,0.117752434,0.118723304,0.115810686,0.118723304,0.116781556,0.115810686,0.116781556,0.118723304,0.116781556,0.116781556,0.117752434,0.116781556,0.117752434,0.116781556,0.116781556,0.115810686
0.120,0.126490296,0.127461166,0.126490296,0.125519426,0.125519426,0.125519426,0.125519426,0.125519426,0.127461166,0.128432044,0.127461166,0.12454855,0.127461166,0.126490296,0.126490296,0.127461166,0.127461166,0.126490296,0.126490296,0.127461166,0.12454855,0.126490296,0.12454855,0.126490296,0.127461166,0.12454855,0.127461166,0.126490296,0.12454855,0.12357768,0.126490296,0.127461166,0.127461166,0.127461166,0.127461166,0.12454855,0.12454855,0.125519426,0.125519426,0.126490296,0.126490296,0.127461166,0.127461166,0.125519426,0.127461166,0.128432044,0.125519426,0.126490296,0.127461166,0.128432044,0.126490296,0.126490296,0.126490296,0.126490296,0.128432044,0.128432044,0.126490296,0.127461166,0.126490296,0.127461166,0.127461166,0.127461166,0.128432044,0.126490296
0.130,0.13716991,0.13716991,0.13716991,0.13619903,0.13522816,0.13425729,0.13619903,0.13522816,0.13814078,0.13911165,0.13619903,0.13619903,0.13716991,0.13619903,0.13619903,0.13716991,0.13911165,0.13619903,0.13716991,0.13619903,0.13814078,0.13328642,0.13522816,0.13522816,0.13814078,0.13522816,0.13716991,0.13716991,0.13425729,0.13619903,0.13716991,0.13619903,0.13911165,0.13522816,0.13619903,0.13619903,0.13522816,0.13522816,0.13619903,0.13619903,0.13814078,0.13814078,0.13716991,0.13619903,0.13619903,0.13716991,0.13619903,0.13522816,0.13911165,0.13911165,0.13911165,0.13716991,0.13814078,0.13716991,0.13911165,0.13716991,0.13716991,0.13716991,0.13814078,0.13814078,0.13814078,0.13619903,0.13716991,0.13716991
